Index,Time(ms)
0,1.77029
1,1.79857
2,1.83147
3,1.77175
4,1.76309
5,1.73145
6,2.15994
7,1.7772
8,3.412
9,2.30472
10,1.75045
11,2.12439
12,2.32204
13,2.07277
14,2.3453
15,2.38071
16,2.16461
17,2.36464
18,2.24109
19,2.12676
20,2.35954
21,2.11014
22,2.37016
23,2.16224
24,2.41228
25,2.18361
26,2.23921
27,1.67076
28,2.11859
29,1.78286
30,1.6561
31,1.78607
32,1.80353
33,1.67803
34,1.70596
35,1.75241
36,1.65156
37,1.70659
38,1.7214
39,1.71441
40,1.69074
41,2.28467
42,1.71483
43,1.72475
44,1.6621
45,1.65547
46,1.66112
47,1.68019
48,1.76945
49,1.78586
50,1.7237
51,1.75814
52,1.65896
53,1.65903
54,1.75492
55,1.75003
56,2.14296
57,1.72573
58,1.72538
59,1.69486
60,1.97947
61,2.52563
62,2.22978
63,2.37784
64,2.21644
65,2.13116
66,1.72412
67,1.65651
68,1.66273
69,1.77699
70,1.66071
71,1.6658
72,1.75855
73,1.66685
74,1.67935
75,1.70114
76,1.6561
77,1.68955
78,1.69751
79,1.67481
80,1.66951
81,1.65267
82,1.65484
83,1.67062
84,1.66168
85,1.73124
86,1.66406
87,1.74766
88,1.70443
89,1.73446
90,1.69577
91,1.92862
92,1.7038
93,1.65994
94,1.68711
95,1.66664
96,1.67125
97,1.76686
98,1.79187
99,1.67405
