Index,Time(ms)
0,0.886086
1,0.850327
2,0.851026
3,0.880708
4,0.836988
5,0.875959
6,0.959909
7,0.903826
8,1.13305
9,0.938119
10,0.811146
11,1.03981
12,0.905992
13,1.19989
14,1.03366
15,0.998742
16,0.94196
17,0.93302
18,1.05071
19,0.90662
20,1.0081
21,0.916747
22,0.969269
23,0.958373
24,0.891325
25,1.03876
26,0.897401
27,0.910811
28,0.796898
29,0.843413
30,0.796968
31,0.828187
32,0.828467
33,0.785863
34,0.798854
35,1.31464
36,0.793406
37,0.797247
38,0.800809
39,0.860385
40,0.793266
41,0.935884
42,0.989663
43,0.783069
44,0.815965
45,0.799343
46,0.790682
47,0.793196
48,0.785514
49,0.83154
50,0.802905
51,0.790891
52,0.785025
53,0.823578
54,0.79606
55,0.849769
56,0.89768
57,0.820366
58,0.837058
59,0.807793
60,0.877356
61,1.13549
62,1.21392
63,1.12145
64,0.933509
65,0.891185
66,0.839921
67,0.79606
68,0.794104
69,0.798295
70,0.895096
71,0.814359
72,0.824066
73,0.798435
74,0.814987
75,0.782092
76,0.798015
77,0.822111
78,0.787818
79,0.795431
80,0.785584
81,0.792847
82,0.824485
83,0.796688
84,0.788028
85,0.827419
86,0.812962
87,0.865833
88,0.818689
89,0.864086
90,0.844949
91,0.821902
92,0.835032
93,0.783209
94,0.827419
95,0.803603
96,0.798365
97,0.837616
98,0.843972
99,0.807934
