Index,Time(ms)
0,0.05755
1,0.047981
2,0.041067
3,0.063416
4,0.054756
5,0.049728
6,0.060833
7,0.051403
8,0.07487
9,0.064534
10,0.058667
11,0.089188
12,0.056711
13,0.060134
14,0.061251
15,0.064813
16,0.060553
17,0.056293
18,0.064884
19,0.05315
20,0.06649
21,0.055874
22,0.056292
23,0.058667
24,0.059505
25,0.062928
26,0.059575
27,0.062019
28,0.040509
29,0.037086
30,0.040928
31,0.040578
32,0.060623
33,0.040578
34,0.036737
35,0.040509
36,0.040508
37,0.040648
38,0.067747
39,0.036668
40,0.040579
41,0.064673
42,0.045327
43,0.036737
44,0.040578
45,0.066839
46,0.036458
47,0.040369
48,0.036318
49,0.054756
50,0.0616
51,0.045886
52,0.040229
53,0.036737
54,0.036248
55,0.070122
56,0.065791
57,0.051893
58,0.061741
59,0.036667
60,0.049657
61,0.066699
62,0.064255
63,0.074102
64,0.059576
65,0.056712
66,0.06181
67,0.041067
68,0.040509
69,0.036667
70,0.059086
71,0.036178
72,0.036178
73,0.040089
74,0.040578
75,0.055315
76,0.040439
77,0.041137
78,0.035759
79,0.036318
80,0.041067
81,0.040788
82,0.040928
83,0.040439
84,0.036179
85,0.036667
86,0.040578
87,0.03576
88,0.052312
89,0.06621
90,0.052172
91,0.036737
92,0.035759
93,0.036737
94,0.044908
95,0.041067
96,0.036667
97,0.041207
98,0.037156
99,0.035759
