Index,Time(ms)
0,0.607556
1,0.59715
2,0.542463
3,0.685569
4,0.573264
5,0.603226
6,0.664966
7,0.631303
8,0.932601
9,0.706732
10,0.613772
11,0.766446
12,0.627112
13,0.656656
14,0.715532
15,0.703519
16,0.688853
17,0.65449
18,0.650021
19,0.641709
20,0.743119
21,0.669506
22,0.63675
23,0.717697
24,0.629347
25,0.631791
26,0.624877
27,0.688573
28,0.556641
29,0.573893
30,0.55685
31,0.559016
32,0.556293
33,0.573892
34,0.563067
35,0.563974
36,0.558806
37,0.555594
38,0.598616
39,0.574591
40,0.558387
41,0.559016
42,0.728802
43,0.544349
44,0.591004
45,0.581924
46,0.54812
47,0.586813
48,0.635074
49,0.576756
50,0.544558
51,0.540229
52,0.559225
53,0.621664
54,0.555804
55,0.541765
56,0.601969
57,0.547422
58,0.569841
59,0.633258
60,0.553219
61,0.78691
62,0.820505
63,0.771196
64,0.648413
65,0.650509
66,0.553569
67,0.577943
68,0.556991
69,0.548819
70,0.703519
71,0.561112
72,0.559505
73,0.546933
74,0.544559
75,0.544559
76,0.581365
77,0.559715
78,0.549518
79,0.602039
80,0.546654
81,0.618591
82,0.576755
83,0.556362
84,0.541486
85,0.542952
86,0.556362
87,0.572705
88,0.576546
89,0.558946
90,0.559295
91,0.578222
92,0.53939
93,0.567117
94,0.550635
95,0.563765
96,0.542394
97,0.54386
98,0.629836
99,0.935814
