Index,Time(ms)
0,2.22649
1,2.24235
2,2.24493
3,2.27727
4,2.38483
5,2.24277
6,2.22433
7,2.22265
8,2.22978
9,2.25185
10,2.21504
11,2.66978
12,2.30584
13,2.49979
14,3.35514
15,2.68298
16,2.3073
17,2.22978
18,2.55084
19,2.26945
20,2.28733
21,2.21581
22,2.23131
23,2.40599
24,2.22545
25,2.45607
26,2.23914
27,2.65135
28,3.24368
29,2.29466
30,2.22147
31,2.35158
32,2.28069
33,3.34767
34,2.34285
35,2.29725
36,2.25499
37,2.38497
38,2.52849
39,3.04316
40,3.31589
41,2.29271
42,2.28411
43,4.12627
44,2.48694
45,2.43099
46,2.99958
47,3.26009
48,2.32078
49,2.45048
50,2.23858
51,2.45977
52,2.22035
53,2.34963
54,2.45851
55,2.44489
56,2.33384
57,2.59407
58,2.2846
59,2.40983
60,2.61237
61,2.21686
62,2.31149
63,2.39097
64,2.22671
65,2.2545
66,2.24661
67,2.50642
68,2.32895
69,2.34802
70,2.22566
71,2.27825
72,2.26833
73,2.22042
74,2.26896
75,2.28139
76,2.25674
77,2.22747
78,2.24123
79,2.2156
80,2.22992
81,2.23013
82,2.33161
83,2.26617
84,2.31925
85,2.24158
86,2.27804
87,2.25555
88,2.22105
89,2.23271
90,2.26079
91,2.26512
92,2.2112
93,2.23984
94,2.28432
95,2.36443
96,2.26987
97,2.32714
98,2.22014
99,2.2098
