Index,Time(ms)
0,72.2775
1,72.962
2,71.955
3,73.1031
4,71.6953
5,72.8255
6,72.9633
7,72.768
8,71.9671
9,72.218
10,71.5851
11,72.7456
12,75.8338
13,80.0793
14,93.0894
15,111.734
16,80.1296
17,78.1176
18,74.1733
19,75.9383
20,78.8576
21,88.0475
22,73.2169
23,72.8729
24,72.7104
25,73.2398
26,75.5255
27,72.3403
28,74.4065
29,72.617
30,73.4642
31,75.2237
32,75.3324
33,92.4097
34,75.1527
35,75.6327
36,77.1557
37,73.4628
38,73.8139
39,105.389
40,110.057
41,108.783
42,76.7714
43,110.013
44,120.191
45,76.4785
46,99.7147
47,106.302
48,105.051
49,73.2283
50,74.4848
51,74.8037
52,74.7474
53,75.5664
54,73.622
55,74.8825
56,75.969
57,79.2066
58,76.8562
59,76.1138
60,74.6053
61,74.1921
62,76.2554
63,76.6904
64,74.2611
65,73.6285
66,75.1974
67,75.3671
68,74.9148
69,76.1154
70,75.9562
71,71.2265
72,72.175
73,72.6034
74,71.7336
75,73.2679
76,72.6224
77,72.8211
78,74.0758
79,72.5696
80,72.5763
81,73.007
82,72.4068
83,81.3974
84,73.4802
85,73.964
86,77.0107
87,71.4233
88,72.0522
89,72.1028
90,73.0144
91,71.7006
92,73.2934
93,71.8113
94,72.0205
95,72.5262
96,74.6657
97,73.1205
98,72.2972
99,72.4643
