Index,Time(ms)
0,1.95667
1,1.95505
2,1.95032
3,1.95808
4,1.97025
5,1.95204
6,1.9844
7,1.95941
8,1.95338
9,1.97064
10,1.94686
11,2.00377
12,2.03736
13,1.98065
14,1.98384
15,2.00554
16,1.96724
17,1.98035
18,1.98895
19,2.00416
20,1.99578
21,2.0987
22,1.96963
23,1.98893
24,1.98141
25,1.98337
26,2.32351
27,2.05427
28,1.95823
29,1.98217
30,2.10012
31,1.96399
32,1.98382
33,2.02209
34,2.01856
35,2.1747
36,2.23559
37,2.02306
38,1.9981
39,1.97909
40,1.9668
41,1.98123
42,2.00519
43,1.95751
44,1.97354
45,1.98113
46,1.9811
47,1.97662
48,2.02311
49,1.98854
50,1.96235
51,1.99486
52,1.98279
53,1.98972
54,1.95929
55,1.96154
56,1.99027
57,1.98298
58,1.95889
59,1.95189
60,2.01855
61,2.01597
62,1.95511
63,1.95511
64,1.95085
65,1.95303
66,1.97374
67,1.95304
68,1.96125
69,2.04384
70,1.96514
71,1.99245
72,1.98187
73,1.95212
74,1.94442
75,1.95031
76,1.95016
77,1.95591
78,2.01505
79,1.9881
80,1.9739
81,1.97976
82,2.03769
83,1.95956
84,1.95972
85,1.98286
86,1.97793
87,2.16913
88,2.13718
89,1.95899
90,2.00968
91,2.15044
92,1.97475
93,1.96221
94,2.04203
95,2.04852
96,1.95596
97,1.95894
98,1.96933
99,2.14572
