Index,Time(ms)
0,78.2452
1,77.1137
2,76.9709
3,76.6825
4,77.2147
5,78.4122
6,78.5391
7,78.1511
8,79.0869
9,81.5732
10,78.9931
11,78.089
12,78.4131
13,76.8952
14,80.9197
15,76.0415
16,78.4182
17,79.8562
18,80.4465
19,79.6603
20,77.7164
21,77.8537
22,77.2701
23,77.8244
24,77.872
25,77.5592
26,78.1071
27,77.3291
28,76.9255
29,77.2288
30,78.7427
31,78.7717
32,78.236
33,77.6541
34,75.9605
35,77.5844
36,79.71
37,78.6272
38,79.2147
39,78.4014
40,76.9535
41,78.1203
42,76.0548
43,76.6527
44,77.499
45,77.4682
46,79.4938
47,77.9293
48,78.1118
49,77.8407
50,77.5277
51,76.664
52,76.4912
53,79.1221
54,77.8769
55,79.1193
56,79.0433
57,77.4218
58,78.2602
59,73.3947
60,71.6497
61,77.5312
62,77.6582
63,74.0793
64,76.8756
65,76.7605
66,78.1953
67,77.7161
68,75.9311
69,77.7711
70,75.5198
71,72.4545
72,77.7885
73,79.1593
74,76.6172
75,77.4353
76,77.1102
77,78.8017
78,77.4457
79,77.307
80,77.29
81,76.0295
82,81.3377
83,78.4074
84,77.5975
85,72.8769
86,76.7926
87,76.3823
88,76.009
89,75.7416
90,81.3258
91,78.7169
92,72.1061
93,77.0488
94,76.3158
95,79.1545
96,77.8598
97,76.8471
98,77.2064
99,76.3509
