Index,Time(ms)
0,1.8469
1,2.3161
2,1.89363
3,1.90697
4,1.8666
5,1.88832
6,1.98512
7,1.91081
8,1.87847
9,1.84055
10,1.86625
11,1.90983
12,1.87784
13,1.87295
14,1.84208
15,1.81729
16,1.86304
17,1.88057
18,2.3805
19,2.6475
20,2.56292
21,2.4458
22,2.09449
23,1.90746
24,3.57871
25,7.94139
26,3.52884
27,2.40061
28,3.08898
29,5.36869
30,2.50733
31,2.00286
32,2.82127
33,3.78551
34,2.83175
35,2.02325
36,1.86737
37,2
38,1.87498
39,2.12089
40,1.87386
41,1.88797
42,2.75974
43,1.96494
44,1.91738
45,1.99888
46,1.88064
47,2.05629
48,1.91954
49,1.88022
50,1.91346
51,1.98247
52,1.88378
53,1.90438
54,2.04204
55,1.91158
56,3.15658
57,1.94014
58,2.25744
59,2.09771
60,2.06579
61,1.86255
62,2.79808
63,2.85326
64,3.10699
65,3.30982
66,3.50915
67,2.92862
68,1.91835
69,2.06963
70,2.60993
71,2.01522
72,1.8643
73,3.47059
74,2.46256
75,3.23369
76,2.04714
77,1.98952
78,1.89111
79,1.87072
80,1.87163
81,2.18215
82,1.96277
83,2.93302
84,2.47409
85,2.68948
86,2.55587
87,2.95215
88,2.06753
89,2.06432
90,1.98631
91,1.91437
92,2.05573
93,2.54365
94,1.9912
95,2.28083
96,2.06893
97,1.95579
98,1.9604
99,3.44203
