Index,Time(ms)
0,10853.4
1,8512.87
2,9090.25
3,9047.09
4,8400.4
5,8786.2
6,8226.69
7,11103.5
8,8291.17
9,10076.8
10,8800.48
11,8225.63
12,8385.18
13,8533.19
14,8339.34
15,9241.49
16,8249.34
17,8391.09
18,8913.16
19,8319.75
20,9400.25
21,8898.13
22,11122.8
23,10265
24,8320.68
25,9071.78
26,8225.68
27,8962.78
28,8369.71
29,8231.62
30,8276.85
31,9136.05
32,8187.94
33,8261.38
34,8332.36
35,8237.86
36,8169.82
37,9023.33
38,9054.22
39,8290.32
40,8256.19
41,8370.36
42,8411.94
43,9900.9
44,8290.67
45,10679.1
46,8604.51
47,8654.09
48,8227.24
49,8173.15
50,8308.15
51,9738.22
52,8951.91
53,8328.95
54,8163.41
55,8904.83
56,8136.75
57,8448.36
58,8468.55
59,8195.28
60,8302.12
61,8434.34
62,11134.6
63,9396.88
64,8367.52
65,8156.65
66,8194.52
67,8249.34
68,8208.13
69,8172.69
70,8206.35
71,8936.47
72,8181.83
73,8233.24
74,10427.4
75,8223.45
76,8438.53
77,8365.2
78,8145.14
79,9160.28
80,8179.92
81,8242.51
82,8473.62
83,8391.24
84,8581.36
85,8234.32
86,8198.28
87,9522.49
88,8920.53
89,8897.44
90,8221.61
91,8173.53
92,8186.64
93,8593.97
94,8265.36
95,10365
96,8276.54
97,8878.37
98,8174.95
99,8571.64
