Index,Time(ms)
0,13.4613
1,13.2635
2,13.6948
3,13.3235
4,13.2797
5,13.3836
6,13.7371
7,13.3282
8,13.4405
9,13.2812
10,13.4311
11,13.24
12,13.6288
13,13.3783
14,13.3415
15,13.2078
16,13.4101
17,13.4369
18,13.3824
19,13.3902
20,13.3458
21,13.6818
22,13.4112
23,13.3063
24,13.6158
25,13.2688
26,13.3666
27,13.4914
28,13.2983
29,13.2407
30,13.3577
31,13.353
32,13.4782
33,13.4204
34,13.6528
35,13.4488
36,13.2463
37,13.1298
38,13.385
39,13.3443
40,13.2534
41,13.4383
42,13.3373
43,13.262
44,13.3523
45,13.3882
46,13.4602
47,13.3164
48,13.718
49,13.462
50,13.9363
51,13.3103
52,13.4013
53,13.3452
54,13.4781
55,13.4674
56,13.348
57,13.3493
58,13.4445
59,13.3144
60,13.38
61,13.3093
62,13.464
63,13.3985
64,13.3107
65,13.4059
66,13.3326
67,13.2753
68,13.4455
69,13.4951
70,13.444
71,13.7398
72,13.2665
73,13.3064
74,13.362
75,13.3747
76,13.2093
77,13.318
78,13.4011
79,13.2653
80,13.4123
81,13.2919
82,13.3065
83,13.254
84,13.3515
85,13.4066
86,13.2992
87,13.3537
88,13.179
89,13.3132
90,13.345
91,13.3074
92,13.2844
93,13.2592
94,13.2368
95,13.3688
96,13.3484
97,13.3217
98,13.2406
99,13.3737
