Index,Time(ms)
0,7458.78
1,7078.23
2,7123.37
3,6437.45
4,6549.7
5,7212.62
6,5780.14
7,6788.46
8,6924.11
9,7032.95
10,7309.06
11,6514.07
12,7163.43
13,7495.5
14,7090.42
15,7525.36
16,6628.57
17,6496.79
18,6494.66
19,6992.19
20,7092.03
21,7229.77
22,7246.65
23,7435.78
24,6569.12
25,6478.02
26,7318.76
27,6249.74
28,7014.1
29,7523.06
30,7383.33
31,7700.96
32,7081.2
33,7142.99
34,6891.04
35,7101.77
36,6756.88
37,7209.13
38,6812.3
39,6393.35
40,7052.72
41,6444.81
42,5467.59
43,5774.6
44,5499.26
45,7001.79
46,7281.53
47,7313.89
48,7236.9
49,6154.7
50,7562.88
51,7038.03
52,6490.3
53,6439.01
54,6665.36
55,6462.93
56,6654.38
57,7811
58,5802.35
59,6877.5
60,7169.41
61,7374.19
62,7006.55
63,7214.83
64,6861.22
65,7372.66
66,5959.05
67,6209.6
68,7475.64
69,7526.35
70,7916.16
71,7479.68
72,8120.25
73,7132.04
74,6611.83
75,6015.92
76,6114.66
77,7256.98
78,6848.87
79,6986.87
80,7295.12
81,6949.5
82,5865.68
83,5856.06
84,7902.71
85,7411.87
86,5755.3
87,6705.76
88,7009.25
89,7549.69
90,5785.48
91,6264.42
92,6461.61
93,7223.76
94,6975.54
95,7012.6
96,6699.62
97,6765.52
98,6183.01
99,6187.26
