Index,Time(ms)
0,9342.88
1,7834.37
2,9310.53
3,9021.56
4,9954.57
5,8705.67
6,8092.79
7,7525.47
8,7280.68
9,8450.51
10,9903.11
11,8559.35
12,8559.9
13,9046.99
14,7819.32
15,7957.84
16,8301.48
17,8290.53
18,7285.27
19,9188.06
20,7619.42
21,7310.59
22,8113.59
23,7300.38
24,7586.23
25,8383.31
26,11531.4
27,8968
28,7605.05
29,8679.69
30,7488.44
31,8093.33
32,7275.22
33,7717.96
34,11777.6
35,8410.66
36,7584.82
37,8181.7
38,8956.17
39,8038.5
40,9098.18
41,7468.29
42,10449.7
43,8900.15
44,7823.89
45,8429.79
46,7960.47
47,7279.78
48,8948.39
49,7742.02
50,7396.3
51,7959.39
52,9247.08
53,8867.56
54,7913.38
55,8072.1
56,7728.01
57,7451.69
58,10804.8
59,8103.2
60,7379.54
61,7330.16
62,7412.75
63,7279.94
64,7297.62
65,8317.86
66,8124.31
67,8678.51
68,7814.4
69,8691.48
70,8595.99
71,9743.41
72,7746.87
73,8637.22
74,9125.64
75,7258.76
76,7694.22
77,8598.28
78,9357.42
79,8555.03
80,7713.66
81,7547.17
82,7540.32
83,9800.56
84,7454.99
85,8914.28
86,8429.31
87,7538.2
88,7200.76
89,7336.21
90,7954.18
91,9074.23
92,8155.7
93,9834.77
94,9345.24
95,7985.84
96,7611.55
97,7274.24
98,7943.37
99,7277.86
