Index,Time(ms)
0,6167.04
1,6153.75
2,6167.32
3,6133.7
4,6131.95
5,6162.52
6,6117.15
7,6151.66
8,6132.97
9,6166.65
10,6151.71
11,6146.35
12,6151.15
13,6118.39
14,6156.75
15,6144.49
16,6173.73
17,6149.8
18,6137.54
19,6146.48
20,6155.24
21,6122.47
22,6154.99
23,6156.41
24,6129.18
25,6136.83
26,6126.96
27,6133.41
28,6144.67
29,6137.01
30,6147.58
31,6164.72
32,6161.51
33,6143.09
34,6135.77
35,6155.92
36,6147.73
37,6154.1
38,6171.39
39,6134.23
40,6110.64
41,6147.02
42,6159.82
43,6145.94
44,6140.75
45,6179.05
46,6146.63
47,6155.55
48,6153.46
49,6134.8
50,6130.23
51,6180.18
52,6146.07
53,6163.89
54,6168.18
55,6135.1
56,6155.04
57,6134.19
58,6149.67
59,6129.63
60,6152.76
61,6138.8
62,6234.97
63,6147.89
64,6175.07
65,6163.84
66,6140.48
67,6138.58
68,6139.16
69,6165.93
70,6165.23
71,6131.2
72,6139.49
73,6159.65
74,6169.43
75,6160.59
76,6160.01
77,6143.17
78,6164.8
79,6178.4
80,6146.75
81,6158.62
82,6139.52
83,6134.28
84,6159.35
85,6150.88
86,6113.45
87,6162.76
88,6141.23
89,6147.05
90,6137.43
91,6160.14
92,6189.7
93,6136.38
94,6170.75
95,6146.63
96,6158.83
97,6148.98
98,6150.87
99,6169.96
