Index,Time(ms)
0,12.5851
1,17.8936
2,38.8191
3,12.5641
4,13.3843
5,12.7015
6,14.9956
7,12.4692
8,12.5245
9,33.9691
10,43.6106
11,17.1788
12,29.8248
13,12.3258
14,17.5589
15,43.4002
16,29.2144
17,26.604
18,12.6377
19,15.3793
20,12.4495
21,29.3874
22,12.536
23,19.606
24,13.4409
25,13.5386
26,12.9226
27,12.3865
28,19.8789
29,56.9768
30,37.4081
31,59.3702
32,12.3778
33,58.2077
34,13.8245
35,15.7563
36,29.3673
37,13.2541
38,12.6852
39,54.2086
40,44.3334
41,12.797
42,17.276
43,12.8609
44,12.5181
45,12.5799
46,23.5883
47,30.8502
48,27.6687
49,14.1359
50,13.1873
51,13.2814
52,16.2729
53,15.3131
54,43.4106
55,17.2581
56,14.2709
57,13.4934
58,13.6176
59,14.5222
60,14.0232
61,12.5249
62,39.6885
63,12.3038
64,13.056
65,12.7129
66,16.0379
67,12.6273
68,48.1339
69,63.7224
70,16.6478
71,16.1561
72,15.259
73,51.926
74,16.7888
75,16.1787
76,21.3066
77,15.0575
78,19.3136
79,27.8978
80,15.5025
81,68.4822
82,12.3478
83,12.4803
84,12.9859
85,41.5664
86,12.2995
87,20.4525
88,22.983
89,12.7364
90,61.7763
91,39.8475
92,14.5318
93,12.381
94,12.5315
95,44.5708
96,12.7704
97,12.5301
98,19.5724
99,12.9505
