Index,Time(ms)
0,268.001
1,416.188
2,344.133
3,323.704
4,314.78
5,330.932
6,331.288
7,330.991
8,308.452
9,269.841
10,317.674
11,325.565
12,304.146
13,283.118
14,341.774
15,264.84
16,267.003
17,381.319
18,246.077
19,315.11
20,268.262
21,296.794
22,320.324
23,276.368
24,276.743
25,417.336
26,427.896
27,348.491
28,287.634
29,407.56
30,290.543
31,299.273
32,457.708
33,287.631
34,303.247
35,337.533
36,306.573
37,310.064
38,364.138
39,324.626
40,283.655
41,287.197
42,391.183
43,260.72
44,268.116
45,325.047
46,331.413
47,305.223
48,316.558
49,278.234
50,324.376
51,330.667
52,288.917
53,302.622
54,349.254
55,287.607
56,330.478
57,283.709
58,266.404
59,414.027
60,277.222
61,336.642
62,312.762
63,372.255
64,335.799
65,256.081
66,304.215
67,307.047
68,312.668
69,327.15
70,414.841
71,392.034
72,316.9
73,360.394
74,349.856
75,411.12
76,383.85
77,370.739
78,270.797
79,441.603
80,348.628
81,317.475
82,319.94
83,614.725
84,350.823
85,388.412
86,346.654
87,314.374
88,342.043
89,394.255
90,294.834
91,285.847
92,319.96
93,383.754
94,353.147
95,278.649
96,345.028
97,312.405
98,325.536
99,362.583
