Index,Time(ms)
0,839.567
1,852.187
2,855.088
3,852.733
4,868.672
5,857.098
6,848.05
7,848.503
8,859.946
9,860.698
10,863.253
11,859.754
12,859.653
13,874.368
14,855.221
15,866.989
16,852.763
17,850.024
18,849.644
19,864.176
20,866.797
21,866.28
22,851.144
23,910.113
24,857.497
25,863.6
26,850.043
27,872.048
28,846.535
29,846.664
30,861.336
31,855.765
32,854.741
33,847.212
34,855.734
35,852.065
36,855.807
37,853.951
38,856.467
39,858.082
40,857.825
41,846.658
42,854.959
43,856.556
44,867.598
45,852.64
46,847.612
47,859.151
48,861.778
49,854.9
50,852.614
51,850.244
52,853.864
53,851.858
54,858.936
55,851.067
56,858.19
57,853.621
58,867.322
59,855.076
60,850.248
61,851.449
62,858.352
63,856.833
64,871.021
65,864.937
66,854.262
67,847.545
68,862.334
69,850.054
70,862.373
71,852.065
72,852.984
73,842.7
74,840.747
75,868.285
76,847.021
77,852.851
78,851.977
79,869.664
80,848.994
81,840.104
82,841.067
83,848.052
84,841.635
85,862.937
86,846.505
87,848.918
88,853.324
89,852.759
90,852.306
91,842
92,846.402
93,848.505
94,853.956
95,849.287
96,848.458
97,850.144
98,865.232
99,849.542
