Index,Time(ms)
0,10.1105
1,9.87104
2,9.38767
3,9.72877
4,10.6765
5,9.57973
6,9.92831
7,9.69685
8,9.49983
9,10.381
10,10.176
11,9.816
12,10.0381
13,10.8608
14,10.9179
15,9.81349
16,9.48558
17,9.67206
18,9.41581
19,9.56367
20,13.1521
21,9.75398
22,9.41546
23,9.96372
24,9.58231
25,9.89108
26,10.2596
27,9.91448
28,10.2691
29,13.2149
30,9.92244
31,9.69106
32,9.62799
33,9.42454
34,10.0391
35,11.5892
36,10.4083
37,10.3983
38,9.5557
39,9.87292
40,9.65411
41,9.76823
42,9.80308
43,10.3893
44,10.4076
45,9.56855
46,9.99836
47,9.87167
48,9.62184
49,9.66591
50,9.7632
51,9.60047
52,10.4375
53,9.56827
54,9.90931
55,10.0531
56,9.77466
57,10.4902
58,9.75252
59,9.8526
60,9.61912
61,9.88619
62,9.64126
63,9.83381
64,9.49354
65,11.9204
66,9.94102
67,10.5729
68,10.8144
69,10.1535
70,9.44207
71,10.2869
72,9.79267
73,9.92363
74,9.52846
75,10.2112
76,10.2551
77,10.0592
78,9.67352
79,12.0454
80,10.5698
81,10.694
82,10.2157
83,9.72164
84,9.88801
85,9.66542
86,9.83374
87,9.40861
88,10.034
89,10.4795
90,9.52336
91,10.1383
92,10.3891
93,9.72381
94,9.91944
95,11.6264
96,12.3807
97,9.80217
98,9.70963
99,9.51994
