Index,Time(ms)
0,4.90787
1,6.59804
2,4.67899
3,4.66503
4,5.01053
5,6.64602
6,5.65643
7,5.28152
8,5.25945
9,4.73745
10,4.94383
11,5.31679
12,5.23543
13,4.76225
14,4.93168
15,5.19045
16,4.88286
17,5.037
18,4.75952
19,4.73389
20,5.31295
21,4.88091
22,7.04873
23,5.37741
24,4.99573
25,5.30534
26,4.90598
27,5.5238
28,5.35444
29,5.14316
30,4.76741
31,4.79179
32,4.67278
33,4.87099
34,7.79807
35,4.90605
36,4.84962
37,4.75854
38,4.66028
39,4.74409
40,6.48182
41,5.68646
42,4.729
43,4.90053
44,4.66551
45,4.94509
46,4.79095
47,5.20365
48,5.14163
49,4.57465
50,7.88034
51,4.64344
52,4.98811
53,4.99622
54,4.89313
55,5.61522
56,4.61837
57,5.10475
58,4.68933
59,4.7693
60,4.96597
61,4.886
62,5.08401
63,4.82671
64,4.78871
65,4.60789
66,4.98769
67,4.83502
68,4.93154
69,4.82217
70,4.82503
71,4.94572
72,4.57269
73,4.96465
74,5.09735
75,5.84815
76,5.36002
77,5.40269
78,4.97386
79,4.91317
80,4.55216
81,5.6074
82,4.96793
83,4.64002
84,5.55956
85,4.78403
86,5.16586
87,4.93021
88,5.21643
89,5.24646
90,4.91596
91,4.8874
92,5.1639
93,4.81337
94,5.17599
95,4.8631
96,5.06892
97,4.82252
98,5.23752
99,5.04175
