Index,Time(ms)
0,16.0167
1,14.831
2,16.6647
3,17.945
4,18.3839
5,17.8715
6,14.6234
7,17.9132
8,15.6944
9,17.2529
10,16.9095
11,19.034
12,18.0538
13,18.412
14,17.713
15,17.9637
16,14.2833
17,17.8877
18,15.1435
19,17.7783
20,16.4296
21,15.3626
22,17.9919
23,16.6097
24,15.3309
25,17.7221
26,17.4938
27,17.6013
28,17.2668
29,16.9619
30,15.1274
31,17.9473
32,16.5575
33,16.7664
34,17.5482
35,13.7372
36,18.1064
37,18.042
38,18.1233
39,16.1126
40,16.9016
41,18.0214
42,17.7529
43,16.001
44,18.1994
45,17.7689
46,17.581
47,17.2525
48,17.8462
49,18.2413
50,17.234
51,13.8499
52,16.9753
53,16.1402
54,17.6174
55,15.7923
56,18.5035
57,15.8989
58,18.2343
59,17.2896
60,14.7173
61,17.3775
62,17.1517
63,15.76
64,18.0628
65,15.0584
66,18.0282
67,18.0171
68,18.133
69,13.741
70,17.4269
71,17.199
72,15.5359
73,16.23
74,16.2451
75,15.8123
76,17.388
77,17.7338
78,15.2346
79,17.8627
80,16.1881
81,19.1149
82,14.2859
83,18.0227
84,18.0104
85,19.4841
86,18.4174
87,17.5232
88,18.9185
89,17.834
90,15.843
91,18.3369
92,15.1314
93,17.8241
94,17.9377
95,15.7337
96,17.316
97,16.1643
98,18.8708
99,16.2929
