Index,Time(ms)
0,0.646528
1,0.648902
2,0.636331
3,0.638775
4,0.603854
5,0.657563
6,0.646598
7,0.621385
8,0.759952
9,0.628439
10,0.619081
11,0.631372
12,0.655189
13,0.638077
14,0.710643
15,0.644433
16,0.645341
17,0.68969
18,0.61475
19,0.620896
20,0.61063
21,0.746612
22,0.60176
23,0.593448
24,0.634794
25,0.839153
26,0.616147
27,0.617194
28,0.642477
29,0.612166
30,0.619779
31,0.67635
32,0.609652
33,0.660008
34,0.616217
35,1.52822
36,0.768822
37,0.637099
38,0.716789
39,0.646947
40,0.638496
41,0.823857
42,0.642338
43,0.61014
44,0.774059
45,0.616496
46,0.710224
47,0.621385
48,0.625785
49,0.602737
50,0.705265
51,0.872537
52,0.750663
53,0.612375
54,0.611887
55,0.688224
56,0.732923
57,0.598128
58,0.61475
59,0.626274
60,0.6547
61,0.73851
62,0.755691
63,0.637029
64,0.639055
65,0.666433
66,0.842435
67,0.653023
68,0.671741
69,0.629416
70,0.663779
71,0.715811
72,0.661544
73,0.646738
74,0.591283
75,0.719583
76,0.631303
77,0.646947
78,0.660706
79,0.61482
80,0.670764
81,0.78272
82,0.637379
83,0.635912
84,0.640172
85,0.658052
86,0.628089
87,0.654979
88,0.64981
89,0.616776
90,0.619639
91,0.689411
92,0.608534
93,0.620896
94,0.629906
95,0.608534
96,0.603086
97,0.626903
98,0.65421
99,0.702612
