Index,Time(ms)
0,0.943566
1,0.921706
2,0.913395
3,1.43672
4,0.944893
5,0.933928
6,0.913395
7,0.922893
8,0.909344
9,0.915979
10,1.0373
11,0.934208
12,0.991129
13,0.901033
14,1.04044
15,0.922963
16,0.91556
17,0.914652
18,1.18145
19,0.931833
20,0.933998
21,0.912347
22,0.907947
23,0.899636
24,0.919052
25,0.911299
26,0.908994
27,0.909484
28,0.920938
29,0.915141
30,0.910741
31,0.956766
32,0.910112
33,0.93721
34,0.931134
35,0.950062
36,0.941471
37,0.906061
38,0.912766
39,0.897122
40,0.912208
41,0.917585
42,0.92401
43,0.915001
44,0.917376
45,0.942588
46,0.916328
47,0.898099
48,0.921915
49,0.951808
50,0.913116
51,0.972621
52,0.91968
53,1.37449
54,0.975065
55,0.921845
56,0.935605
57,0.95062
58,0.956487
59,0.983516
60,0.981351
61,0.916608
62,0.896703
63,1.03988
64,0.912277
65,0.916398
66,0.915141
67,0.902499
68,1.01606
69,0.91549
70,0.913814
71,0.903198
72,0.914652
73,0.917865
74,0.91563
75,1.03059
76,0.914442
77,0.909833
78,0.927643
79,0.908855
80,0.966894
81,0.919541
82,0.919192
83,0.925757
84,0.94224
85,0.91549
86,1.54854
87,0.930786
88,0.9157
89,0.919191
90,0.92003
91,0.976671
92,0.908924
93,0.91535
94,0.948525
95,0.916398
96,0.934906
97,0.914163
98,0.916328
99,0.914372
