Index,Time(ms)
0,9.92586
1,9.82291
2,10.0946
3,9.86503
4,9.83254
5,9.84306
6,9.78458
7,9.81503
8,9.93417
9,10.1812
10,9.88385
11,9.83701
12,10.0219
13,9.82753
14,9.96454
15,10.0795
16,9.92393
17,10.0423
18,9.82895
19,10.0328
20,10.2976
21,10.3125
22,10.2094
23,10.1084
24,10.1742
25,10.4718
26,9.98603
27,10.1798
28,9.85677
29,9.99999
30,9.90506
31,9.92197
32,9.79485
33,10.3024
34,10.2421
35,9.85883
36,9.94417
37,9.99563
38,9.80052
39,9.89095
40,9.9617
41,9.85731
42,9.8566
43,9.70044
44,10.0348
45,9.85166
46,9.76314
47,10.045
48,9.89022
49,10.2555
50,10.2061
51,10.0241
52,9.8949
53,9.81523
54,9.80802
55,9.91075
56,9.78564
57,9.84908
58,10.05
59,10.3445
60,10.0384
61,10.068
62,9.81397
63,9.87496
64,9.9507
65,9.94384
66,9.77968
67,9.86998
68,9.74718
69,10.3209
70,9.83207
71,9.77202
72,10.1325
73,9.81345
74,9.8153
75,10.3212
76,9.98541
77,9.79853
78,9.80463
79,9.85992
80,9.82188
81,10.0334
82,9.85286
83,10.0592
84,9.95188
85,9.80871
86,9.76085
87,9.87778
88,9.76716
89,9.9052
90,9.72132
91,9.95059
92,9.77444
93,10.0192
94,9.83182
95,9.98078
96,9.92896
97,9.7919
98,9.91141
99,9.78268
