Index,Time(ms)
0,8.23986
1,8.15909
2,8.14577
3,8.16279
4,8.25605
5,8.16047
6,8.20686
7,8.17124
8,8.12589
9,8.13969
10,8.22246
11,8.24623
12,8.13029
13,8.15329
14,8.24566
15,8.18787
16,8.45683
17,8.19925
18,8.22018
19,8.17736
20,8.13366
21,8.19188
22,8.16942
23,8.13115
24,8.19396
25,8.12619
26,8.15719
27,8.15984
28,8.26226
29,8.22983
30,8.13418
31,8.31827
32,8.15297
33,8.23128
34,8.18489
35,8.21088
36,8.14945
37,8.27393
38,8.1776
39,8.20938
40,8.16846
41,8.28811
42,8.20283
43,8.1827
44,8.19356
45,8.1246
46,8.15378
47,8.1992
48,8.47421
49,8.18778
50,8.26539
51,8.19475
52,8.29052
53,8.20592
54,8.21777
55,8.18172
56,8.54633
57,8.19907
58,8.21403
59,8.14979
60,8.21682
61,8.93741
62,8.17167
63,8.14237
64,8.1778
65,8.19793
66,8.20861
67,8.20965
68,8.17889
69,8.12593
70,8.20007
71,8.20138
72,8.17481
73,8.23888
74,8.20396
75,8.29917
76,8.15422
77,8.21912
78,8.20776
79,8.184
80,8.1442
81,8.19299
82,8.22406
83,8.15063
84,8.16218
85,8.20025
86,8.13912
87,8.18079
88,8.16221
89,8.17828
90,8.20595
91,8.19912
92,8.14492
93,8.13985
94,8.18005
95,8.13381
96,8.20719
97,8.14638
98,8.20814
99,8.1501
