Index,Time(ms)
0,4439.2
1,4463.65
2,4440.62
3,4456.71
4,4454.52
5,4447.28
6,4465.87
7,4471
8,4444.35
9,4498.53
10,4464.7
11,4470.42
12,4441.31
13,4472.72
14,4471.36
15,4460.58
16,4521.63
17,4491.21
18,4465.46
19,4469.5
20,4490.3
21,4504.25
22,4514.8
23,4418.21
24,4399.12
25,4415.09
26,4369.97
27,4396.58
28,4368.82
29,4422.73
30,4454.9
31,4461.92
32,4406.37
33,4386.73
34,4359.43
35,4341.4
36,4477.1
37,4488.58
38,4491.29
39,4464.03
40,4469.93
41,4439.99
42,4503.25
43,4461.31
44,4541.13
45,4513.66
46,4491
47,4492.02
48,4463.71
49,4451.94
50,4483.84
51,4462.41
52,4476.02
53,4486.45
54,4424.73
55,4434.51
56,4431.31
57,4457.62
58,4421.64
59,4411.84
60,4460.01
61,4477.09
62,4471.57
63,4465.97
64,4484.36
65,4462.76
66,4438.8
67,4456.88
68,4445.08
69,4436.38
70,4599.7
71,4422.49
72,4445.46
73,4433.96
74,4438.76
75,4428.9
76,4422.79
77,4424.95
78,4399.53
79,4443.9
80,4425.95
81,4433.06
82,4450.96
83,4454.81
84,4440.12
85,4457.09
86,4464.36
87,4433.6
88,4433.11
89,4453.96
90,4413.9
91,4434.94
92,4453.9
93,4460.86
94,4434.76
95,4434.26
96,4422.26
97,4454.25
98,4438.75
99,4480.71
