Index,Time(ms)
0,5988.35
1,5802.46
2,5833.67
3,6390.71
4,5799.14
5,5806.5
6,5807.74
7,6475.98
8,5820.3
9,5910.1
10,5815.09
11,5801.23
12,5770.51
13,5830.36
14,5807.43
15,5930.92
16,5789.03
17,6871.62
18,5770.93
19,5754
20,5801.34
21,5828.48
22,5898.87
23,5802.78
24,5824.63
25,5810.79
26,5795.73
27,5825.15
28,6324.4
29,5798.39
30,5833.23
31,5816.51
32,5834.46
33,5798.49
34,5797.88
35,6017.65
36,5747.42
37,5824.68
38,5827.58
39,5803.52
40,5811.23
41,5800.58
42,5815.19
43,5970.07
44,6948.69
45,5815.49
46,6253.85
47,5816.36
48,5823.56
49,5834.12
50,5812.34
51,6632.16
52,6142.36
53,5801.14
54,5786.47
55,5803.81
56,6004.7
57,5815.04
58,5802.24
59,5818.92
60,5819.14
61,5786.22
62,5793.36
63,5798.2
64,5802.03
65,6936.34
66,6626.35
67,6095.77
68,5857.47
69,5808.49
70,5883.57
71,5809.24
72,5797.22
73,5817.59
74,6366.58
75,5783.71
76,5844.13
77,5812.43
78,6441.79
79,6886.55
80,5877.67
81,6199.03
82,5828.39
83,6718.81
84,5816.98
85,5768.71
86,5805.79
87,5823.01
88,5820.15
89,5810.51
90,5824.98
91,5811.79
92,5796.54
93,6622.14
94,5829.57
95,5764.99
96,5785.93
97,6209.57
98,5794.18
99,5786.64
