Index,Time(ms)
0,17.4851
1,17.6498
2,17.4833
3,17.5989
4,17.5348
5,17.3376
6,17.4925
7,17.6767
8,17.4402
9,17.5663
10,17.6471
11,17.7071
12,17.4129
13,17.6754
14,17.4673
15,17.4313
16,17.7719
17,17.4422
18,17.5545
19,17.6744
20,17.5331
21,17.5904
22,17.7318
23,17.4903
24,17.5945
25,17.5074
26,17.5509
27,17.5484
28,17.4926
29,17.7637
30,17.8032
31,17.8518
32,17.5767
33,17.4564
34,17.3727
35,17.9558
36,17.5053
37,17.5675
38,17.5756
39,17.5645
40,17.3581
41,17.3948
42,17.4758
43,17.6531
44,17.6761
45,17.5292
46,17.3928
47,17.5815
48,17.4967
49,17.5504
50,17.5694
51,17.4858
52,17.5523
53,17.4286
54,17.5898
55,17.4165
56,17.5123
57,17.4608
58,17.3835
59,17.3821
60,17.6973
61,17.4611
62,18.0058
63,17.6802
64,17.4226
65,17.5576
66,17.4698
67,17.5805
68,17.5637
69,17.4778
70,17.5678
71,17.6103
72,17.4021
73,17.5983
74,17.5891
75,17.652
76,17.4161
77,17.5367
78,17.6077
79,17.4049
80,17.4346
81,18.1594
82,17.5498
83,17.6459
84,17.3953
85,17.5246
86,17.5185
87,17.518
88,17.4487
89,17.5342
90,17.544
91,17.5763
92,17.4292
93,17.3676
94,17.4631
95,17.7477
96,18.0407
97,17.6218
98,17.6969
99,17.5927
