Index,Time(ms)
0,7673.31
1,7846.63
2,8190.27
3,6795.81
4,7994.42
5,7574.48
6,7912.2
7,6577.74
8,8043.09
9,7823.5
10,8010.46
11,8131.82
12,8036.84
13,7876.93
14,8075.36
15,7195.23
16,7288.27
17,6402.06
18,7998.49
19,8197.86
20,7008.45
21,7616.48
22,7427.6
23,8246.07
24,7169.14
25,7794.79
26,7716.87
27,7726.49
28,7484.63
29,6923.68
30,7775.3
31,7314.97
32,7730.53
33,7844.2
34,7704.7
35,7948.43
36,6998.82
37,8329.68
38,7904.22
39,7849.99
40,7538.26
41,7442.24
42,7000.96
43,7989.91
44,7855.17
45,8069.93
46,7832.61
47,8502.18
48,7996.6
49,7229.99
50,7109.35
51,8330.43
52,6574.83
53,6563.03
54,7429
55,8104.12
56,8052.37
57,6359.23
58,6654.18
59,7241.49
60,8136.28
61,7499.85
62,8010.93
63,7601.07
64,7777.65
65,7534.1
66,7862.33
67,6440.12
68,7770.97
69,8024.69
70,7470.57
71,6673.89
72,7950.38
73,8104.56
74,7859.32
75,7935.94
76,7826.31
77,7249.63
78,9321.62
79,10343.7
80,10247.3
81,10413.5
82,7416.51
83,8261.06
84,7786.78
85,7950.58
86,7148.99
87,7964.62
88,7239.95
89,7667.54
90,8714.52
91,8117.66
92,7888.78
93,7764.21
94,7336.53
95,8063.64
96,6821.39
97,7549
98,8238.55
99,8300.81
